"Story","Title","Result","Date","Stability","Duration (s)"
"Accounts page validation","Verify Accounts page title","FAILURE","2022-05-31T21:36:04.161+05:30[Asia/Calcutta]","0.0","54.25"
"Check Login page with different inputs","Login with correct username and correct password","SUCCESS","2022-05-31T21:36:03.95+05:30[Asia/Calcutta]","0.0","21.96"
